dataset,reducer,classifier,dim,accuracy,error_rate,pca_dim,n_train,n_test,random_state,test_size,method_label,classifier_label,pca_variance
mnist,pca99_lda,knn,7,0.8758333333333334,0.12416666666666665,500,14000,6000,0,0.3,PCA (>99%) +LDA,KNN-5,0.99
mnist,pca99_lda,knn,8,0.8913333333333333,0.10866666666666669,500,14000,6000,0,0.3,PCA (>99%) +LDA,KNN-5,0.99
mnist,pca99_lda,knn,9,0.8941666666666667,0.10583333333333333,500,14000,6000,0,0.3,PCA (>99%) +LDA,KNN-5,0.99
mnist,none,rf,784,0.9556666666666667,0.044333333333333336,,14000,6000,0,0.3,Raw Data,Random Forest,
mnist,pca,rf,1,0.22066666666666668,0.7793333333333333,,14000,6000,0,0.3,PCA,Random Forest,
mnist,pca,rf,2,0.32133333333333336,0.6786666666666666,,14000,6000,0,0.3,PCA,Random Forest,
mnist,pca,rf,5,0.7358333333333333,0.26416666666666666,,14000,6000,0,0.3,PCA,Random Forest,
mnist,pca,rf,10,0.8811666666666667,0.11883333333333335,,14000,6000,0,0.3,PCA,Random Forest,
mnist,pca,rf,15,0.9106666666666666,0.08933333333333338,,14000,6000,0,0.3,PCA,Random Forest,
mnist,pca,rf,20,0.9186666666666666,0.08133333333333337,,14000,6000,0,0.3,PCA,Random Forest,
